Referencia,question,answer
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Qué puedo hago en la vuelta a casa tras un ingreso hospitalario de un familiar o amigo ha intentado suicidarse?,"Después de un intento de suicidio en los seis primeros meses aumenta el riesgo de una recaída, por esa razón, durante este periodo la seguridad debe ser tu prioridad:   Reduce el riesgo en el hogar: Evita que estén a su alcance objetos que supongan algún peligro, medicamentos o alcohol. Ayúdale a elaborar un plan de seguridad. Trabaja en sus fortalezas para incentivar su seguridad. Favorece la comunicación y el respeto con él/ella. Ayúdale a tomar decisiones y a que no las tome precipitadamente. Procura no infravalorarle y evita tratarle como incapaz. "
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cómo puedo ayudar si tu familiar o amigo ha perdido a un ser querido por suicidio?,"Puedes ayudarle de diferentes maneras, acompañándole, resolviendo los trámites propios ante una muerte como la gestión con la funeraria, comunicar la defunción en el trabajo, gestionar los seguros de vida, todo lo relacionado con los bancos, etc. Algunas preguntas y algunos comentarios, aunque no sean malintencionados, pueden provocar más dolor que alivio. Evita “¿Pero qué pasó?”, “¿Cómo sucedió?”, “¿No te diste cuenta?”, “Fue su elección”, “Hay que ser fuertes”, “El tiempo lo cura todo”… A veces, no son necesarias las palabras, solo estar ahí a su lado, compartir y aguantar los silencios es suficiente para quien está en duelo. Un simple abrazo puede reconfortar mucho más que cualquier frase. Escucharle sin juzgarle también le será de gran ayuda."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cómo ayudar con el proceso de duelo a los niños?,"No les ocultes la realidad. Puede que quieras protegerles, pero los niños se dan cuenta de que algo muy grave está ocurriendo y que no se les está haciendo partícipes. Es fácil que puedan imaginarse cosas irreales con las que sientan miedo, confusión o culpa. Pueden creer que el fallecido no le quería lo suficiente y por eso se ha muerto o marchado, o que fue por su mal comportamiento, o pueden culparse porque en un momento de enfado ha deseado la muerte de esa persona y cuando ha ocurrido creen que lo han provocado ellos por tener ese pensamiento. Por tanto es mejor contar la verdad, pero sin entrar en demasiados detalles. Responde a sus preguntas sin dar más información que la que ellos reclamen, adaptándonos a su edad y a su nivel cognitivo. Dales ejemplo a la hora de gestionar tu duelo. Si ven que los adultos esconden su dolor, los niños actuarán de la misma manera."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cómo tratar en el aula de un colegio o instituto un intento de suicidio de un compañero?,"No silenciar el acto. No obstante, es importante que, en el caso de un alumno que ha hecho una tentativa de suicidio, se pida el consentimiento tanto a sus padres o tutores legales como al propio adolescente ANTES de comunicarlo a sus compañeros puesto que es una información confidencial, un acto de su vida privada. Hablar desde el respeto hacia el compañero que ha intentado quitarse la vida. Aclararles que el centro no va a permitir ninguna muestra de ridiculización, ni tampoco avergonzar o felicitar al compañero que se ha intentado quitar la vida. Evitar juicios de valor y sobre todo los chismes. Hablar sobre la conducta suicida. Crear redes afectivas de apoyo. Darles el mensaje de que pueden salvar una vida si sabemos escuchar y detectar señales de alerta. Recomendarles que le traten con normalidad, manteniendo una actitud de escucha respetuosa, respetando sus silencios, dejándo que cuente lo que quiera, sin interrupciones."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cómo ayudar a los alumnos a superar el duelo ante el suicidio de un compañero de clase?,"No silencies el hecho, habla con sinceridad. Comunícales la realidad de lo que ha sucedido, eliminando la morbosidad (por ejemplo, evita los detalles sobre el método utilizado). Ayúdales a expresar sus sentimientos, temores, miedos y vivencias, a través de distintas actividades y según su edad cognitiva, como por ejemplo por medio de dibujos, redacciones o coloquios sobre el suicidio. Guardar silencio puede dar lugar a que los alumnos sientan más ansiedad al no poder dar respuesta a sus dudas, o al no poder expresar sus miedos. También pueden estar confusos, desarrollar ideas irreales que les haga sentir culpa o acreciente su dolor innecesariamente. Hablar con ellos nos ayudará también a detectar factores de riesgo en otros alumnos que estén muy afectados y que puedan tener también ideación suicida. Intenta desculpabilizarles, es lo más importante. Dedica un tiempo dentro del aula para reflexionar sobre lo sucedido. Durante la primera semana es fundamental seguir hablando del suicidio del compañero. Transmíteles tu disponibilidad para comentar lo sucedido en privado si lo necesitan. Permite que puedan llevar a cabo actos y muestras de recuerdo espontáneos, como escribir mensajes o poner flores. Haz hincapié en que si alguno tiene ideación suicida o algún problema, es fundamental que lo comunique para poder ayudarle."
Telélefono de la Esperanza. Guía del Suicidio. https://telefonodelaesperanza.org/assets/Guia%20del%20suicidio.pdf,¿Cómo actuar si el suicidio se ha producido dentro de un colegio o instituto? ,"Avisar al 112. La policía y comitiva judicial acudirán al lugar. Es IMPORTANTE aportar cualquier dato, por absurdo que parezca, que pueda tener relación con un posible caso de Ciberbullying o acoso escolar. SIEMPRE debe darse conocimiento a la Fiscalía de Menores. El docente es autoridad pública y su palabra tiene la consideración de prueba de veracidad. JAMÁS deben facilitarse datos a los periodistas a riesgo de vulnerar derechos fundamentales. Separar a los demás alumnos del lugar donde está el cuerpo del fallecido. No tocar el cuerpo. En cuanto puedan, los tutores de cada sección deben comunicar a los alumnos lo que ha sucedido, para intentar contener el alto impacto emocional que están sintiendo todos. Ayudarles a manifestar lo que están sintiendo y ofrecerles ayuda. Rebajar la tensión emocional y atender a aquellos alumnos con crisis de ansiedad. Evitar que se sientan culpables. Hablar sobre ello. Solicitar ayuda de profesionales expertos."
Telélefono de la Esperanza. 5 preguntas frecuentes. https://telefonodelaesperanza.ch/5-preguntas-comunes-sobre-suicidio/,¿Por qué hablar de suicidio sigue siendo un tabú?,"Hablar de suicido es todavía un tema difícil de tocar y se evita afrontarlo, muchas veces explicándolo como comportamientos riesgosos o terribles accidentes.  La razón detrás de este comportamiento tiene componentes culturales relacionados con el carácter de pecado que ha tenido el suicidio en nuestra sociedad. Fue solo en el siglo XX que se empezó a considerar el suicidio como un fenómeno de salud pública."
Telélefono de la Esperanza. 5 preguntas frecuentes. https://telefonodelaesperanza.ch/5-preguntas-comunes-sobre-suicidio/,¿Hay una sola causa que explique el suicidio?,"No. El suicidio es el resultado de una compleja interacción de factores biológicos, genéticos, psicológicos, sociales, culturales y medioambientales. Es difícil explicar por qué en unas personas se activa la conducta suicida ante una situación y en otras no. "
Telélefono de la Esperanza. 5 preguntas frecuentes. https://telefonodelaesperanza.ch/5-preguntas-comunes-sobre-suicidio/,¿Tienen todas las personas que se suicidan un trastorno mental?,"No necesariamente. Detrás de muchos suicidios hay un trastorno mental, pero detrás de otros muchos no lo hay. Cualquier persona que se encuentra viviendo una situación emocional intensa y muy dolorosa, sentida como intolerable y aparentemente interminable puede activar ideación suicida."
Telélefono de la Esperanza. 5 preguntas frecuentes. https://telefonodelaesperanza.ch/5-preguntas-comunes-sobre-suicidio/,¿Los suicidios ocurren de la nada sin previo aviso?,"No. Generalmente hay señales de advertencia que pueden indicar que la persona está en peligro. Como padres, amigos o familiares hay que estar pendientes antes cambios o ideas que causen sospecha o dudas.  Algunas señales pueden ser: Un cambio notable en el comportamiento. Esto puede ser euforia o tristeza. Signos de depresión (problemas para dormir, cambios en el apetito, sentimientos de desesperanza, etc.). Abuso de alcohol o drogas. Obsesión por la muerte. Disminución del desempeño o participación en actividades. Regalar posesiones preciadas. Compras inusuales (arma, cuerda, pastillas). Felicidad repentina después de una depresión prolongada. Hablar o bromear sobre el suicidio o la muerte. Alejarse de amigos o familiares o despedirse de ellos. Intentos de suicidio previos. Declaraciones sobre sentirse desesperanzado, inútil, indefenso. Incapacidad para concentrarse o dificultad para recordar. Dolor crónico o quejas frecuentes de síntomas físicos."
Telélefono de la Esperanza. 5 preguntas frecuentes. https://telefonodelaesperanza.ch/5-preguntas-comunes-sobre-suicidio/,¿Hablar de suicidio reduce el riesgo de realizarlo? ,"Sí. Hablar del suicidio no solo reduce el estigma, sino que puede ayudar a aliviar la tensión que está generando las ideas suicidas.  El ser escuchado trae la sensación de ser tenido en cuenta y ser importante para alguien, además de dar tiempo para reflexionar, valorar otras opciones y pedir ayuda."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Cuántas personas mueren por suicidio cada año?,"El suicidio es un problema de salud pública mundial. Cada año, más de 700 000 personas pierden la vida como consecuencia del suicidio. La mayoría de estos fallecimientos (77%) se producen en países de ingreso bajo y mediano. Además, el suicidio tiene un efecto dominó que afecta a las sociedades, las comunidades, los amigos y las familias que han perdido a un ser querido por suicidio."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Cuántas personas intentan suicidarse cada año?,"Hay indicios de que, por cada persona adulta que muere por suicidio, podría haber más de 20 que intentan suicidarse. Esta proporción difiere ampliamente según el país, la región, el sexo, la edad y el método."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Se puede prevenir el suicidio?,"Poder contar con apoyo emocional en el momento adecuado y restringir el acceso a medios de suicidio altamente letales para ganar tiempo mientras se lidia con sentimientos suicidas puede prevenir el suicidio. Existen intervenciones eficaces. El enfoque VIVIR LA VIDA, de la OMS, recomienda cuatro intervenciones clave que han demostrado ser eficaces: velar por que se limite el acceso a los medios de suicidio (por ejemplo, restricciones a plaguicidas tóxicos y armas de fuego); interactuar con los medios de comunicación para que informen de forma responsable sobre el suicidio; desarrollar las aptitudes socioemocionales para la vida de los adolescentes, y detectar, evaluar, gestionar y hacer seguimiento a tiempo de cualquier persona con conductas suicidas. Los pilares básicos de las intervenciones en materia de prevención del suicidio son el análisis de la situación, la colaboración multisectorial, la sensibilización, el desarrollo de las capacidades, el financiamiento, la vigilancia, y el monitoreo y la evaluación."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Hablar de suicidio lleva a una persona a quitarse la vida?,"Hablar abiertamente sobre el suicidio puede servir para que la persona vea que hay otras opciones o para ganar tiempo y que se replantee su decisión, evitando así el suicidio."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,"Si una persona tiene sentimientos suicidas, ¿está decidida a terminar con su vida?","Los estudios sugieren que las personas con sentimientos suicidas a menudo tienen sensaciones encontradas acerca de vivir o morir y buscan aliviar su dolor. Algunas pueden actuar de manera impulsiva y morir al cabo de unos días, a pesar de que les habría gustado seguir viviendo. El acceso a apoyo emocional en el momento adecuado puede prevenir el suicidio. Los estudios con personas que han llevado a cabo intentos de suicidio en los que han estado a punto de acabar con su vida indican que muchas de ellas se sienten contentas tiempo después de haber sobrevivido."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Es cierto que solamente las personas con problemas de salud mental tienen pensamientos suicidas?,"Muchas personas que tienen pensamientos suicidas no sufren problemas de salud mental, y muchas personas con problemas de salud mental no tienen deseos de morir. En situaciones de crisis relacionadas con el suicidio, se deben considerar muchos factores subyacentes y causas concomitantes, como el malestar psíquico grave, el dolor crónico, una experiencia de violencia y los determinantes sociales."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Cuáles son las causas del suicidio?,"Los comportamientos suicidas no son fáciles de explicar. Nunca son el resultado de un único factor o acontecimiento. Los factores que llevan a una persona a quitarse la vida son múltiples y complejos. La salud, la salud mental, los acontecimientos vitales estresantes y los factores sociales y culturales deben tenerse en cuenta cuando se intenta comprender el comportamiento suicida."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Qué es lo que debo saber si conozco a alguien que esté pensando en suicidarse?,"Está bien hablar del suicidio. Preguntarle a una persona si está pensando en suicidarse no la lleva a actuar siguiendo sus sentimientos. De hecho, a menudo reduce la ansiedad y la ayuda a sentirse comprendidas."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Cuáles son los signos de alerta de alguien que esté pensando en suicidarse?,"Cambios drásticos de humor; retraimiento social; expresar pensamientos, sentimientos o planes para terminar con su vida; decir cosas como «Nadie me echará de menos cuando me haya ido» o «No tengo razones para vivir»; buscar formas de suicidarse; despedirse de familiares y amigos cercanos, y regalar posesiones valiosas."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Cuáles son los grupos de riesgo de las personas suicidas?,"Las personas que ya han tratado de quitarse la vida en el pasado; las personas con malestar psíquico grave o depresión; alguien que está socialmente aislado; alguien con problemas de alcohol o de drogas; las personas que viven con dolor crónico o padecen una enfermedad crónica; las personas que han sufrido violencia, abuso u otro trauma; las personas pertenecientes a grupos sociales marginados o discriminados."
Organización Mundial de la Salud https://www.who.int/es/news-room/questions-and-answers/item/suicide,¿Qué debo hacer si conozco a alguien que esté pensando en suicidarse?,"Si conoce a alguien que pueda estar pensando en suicidarse, hable con esa persona al respecto. Escuche sin prejuicios y ofrezca su apoyo. Encuentre un momento apropiado y un lugar tranquilo para hablar con la persona que le preocupa. Hágale saber que usted está allí para escucharla. Anímela a buscar ayuda de un trabajador de la salud, como un médico o un profesional de la salud mental, o un consejero o un trabajador social. Y ofrézcase a acompañarla a una cita. Si cree que alguien está en peligro a muy corto plazo, no lo deje solo. Póngase en contacto con los servicios de emergencia, una línea de atención telefónica para situaciones de crisis, un trabajador de la salud o un familiar. Si la persona que le preocupa vive con usted, asegúrese de que no tenga acceso en el hogar a medios con los que pueda infligirse lesiones. Compruebe periódicamente cómo se encuentra.  "
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Qué es el suicidio?,"El suicidio ocurre cuando las personas se hacen daño a sí mismas con el propósito de terminar con su vida y, como resultado, fallecen."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Qué es un intento de suicidio?,"Un intento de suicidio es cuando las personas se lastiman con el propósito de terminar con su vida, pero no mueren."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Qué términos se deben usar al hablar sobre el suicidio?,"Se deben usar los términos suicidio e intento de suicidio. Evite el uso de términos como “cometer suicidio”, “suicidio exitoso” o “suicidio fallido” cuando se refiera al suicidio y los intentos de suicidio, ya que a menudo estos términos tienen connotaciones negativas."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Quién está en riesgo de suicidarse?,"Las personas de todos los géneros, edades y etnias pueden correr riesgo de suicidio."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Cuáles son los principales factores de riesgo de suicidio?,"Los principales factores de riesgo de suicidio son: antecedentes de intentos de suicidio; depresión, otros trastornos mentales o trastorno por consumo de sustancias; dolor crónico; antecedentes familiares de un trastorno mental o por consumo de sustancias; antecedentes familiares de suicidio; exposición a violencia familiar, lo que incluye abuso físico o sexual; presencia de pistolas u otras armas de fuego en el hogar; liberación reciente de la prisión o la cárcel; exposición, ya sea directa o indirectamente, a la conducta suicida de otros, como familiares, compañeros o celebridades. Los eventos estresantes de la vida (como la pérdida de un ser querido, problemas legales o dificultades financieras) y los factores estresantes interpersonales (como vergüenza, acoso, intimidación, discriminación o problemas en las relaciones) pueden contribuir al riesgo de suicidio.

"
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,"¿Las personas que tienen factores de riesgo de suicidio, intentarán suicidarse?","La mayoría de las personas que tienen factores de riesgo de suicidio no intentarán suicidarse, pero es difícil saber quién actuará sobre sus pensamientos suicidas. Aunque es importante tener en cuenta los factores de riesgo de suicidio, una persona que muestra signos de advertencia de querer quitarse la vida puede tener un mayor riesgo de correr peligro y necesitar atención inmediata."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Cuáles son los signos de advertencia del suicidio?,"Los signos de advertencia de que alguien puede estar en riesgo inmediato de intentar suicidarse incluyen: Hablar de querer morir o desear matarse. Hablar de sentirse vacío o desesperado, o de no tener motivos para vivir. Hablar de sentirse atrapado o pensar que no hay ninguna solución. Sentir un dolor físico o emocional insoportable. Hablar de ser una carga para los demás. Alejarse de familiares y amigos. Regalar posesiones importantes. Decir adiós a amigos y familiares. Poner sus asuntos en orden, como hacer un testamento. Asumir grandes riesgos que podrían resultar en la muerte, como conducir extremadamente rápido. Hablar o pensar en la muerte con frecuencia. Otros signos de advertencia graves de que alguien puede estar en riesgo de intentar suicidarse incluyen: Mostrar cambios extremos en el estado de ánimo, pasando repentinamente de estar muy triste a sentirse muy tranquilo o feliz. Hacer planes o buscar formas de suicidarse, como buscar métodos letales en línea, acumular pastillas o comprar un arma. Hablar de sentirse muy culpable o avergonzado. Consumir alcohol o drogas con más frecuencia. Mostrarse ansioso o agitado. Cambiar los hábitos alimenticios o de sueño. Mostrar furia o hablar de buscar venganza."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Cómo difieren las tasas de suicidio entre diferentes grupos de personas?,"Hay datos que muestran que las tasas de intentos de suicidio y las muertes por suicidio varían según características como la edad, el género, la raza, la etnia y la ubicación geográfica. "
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿Qué opciones de tratamiento y terapias hay disponibles para ayudar a personas que están en riesgo de suicidio?,"Existen intervenciones eficaces basadas en evidencia para ayudar a las personas que están en riesgo de suicidio: Terapia cognitivo-conductual, Terapia dialéctica conductual, Estrategias breves de intervención, Atención colaborativa"
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿En qué consiste la terapia cognitivo-conductual para ayudar a las personas que están en riesgo de suicidio?,La terapia cognitivo-conductual es un tipo tipo de psicoterapia que puede ayudar a las personas a aprender nuevas formas de sobrellevar las experiencias estresantes. La terapia cognitivo-conductual les ayuda a aprender a reconocer sus patrones de pensamiento y a considerar acciones alternativas cuando surgen pensamientos suicidas.
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿En qué consiste la terapia dialéctica conductual para ayudar a las personas que están en riesgo de suicidio?,"La terapia dialéctica conductual es un tipo de psicoterapia que ha demostrado que reduce las conductas suicidas en adolescentes. También se ha demostrado que disminuye la tasa de intentos de suicidio en adultos con trastorno límite de la personalidad, una enfermedad mental caracterizada por un patrón continuo de estados de ánimo, autoimagen y comportamiento variables que a menudo generan acciones impulsivas y problemas en las relaciones. Un terapeuta capacitado en terapia dialéctica conductual puede ayudar a la persona a reconocer cuando sus sentimientos o acciones son perjudiciales o nocivos para la salud y enseñarle habilidades que pueden ayudarle a afrontar con mayor eficacia las situaciones angustiantes."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿En qué consiste las Estrategias breves de intervención para ayudar a las personas que están en riesgo de suicidio? ,"Diversas investigaciones han demostrado que la elaboración de un plan de seguridad o un plan de respuesta a una crisis, con instrucciones específicas sobre qué hacer y cómo obtener ayuda cuando se tienen pensamientos suicidas, puede ayudar a reducir el riesgo de que una persona actúe sobre sus pensamientos suicidas. También se ha demostrado que mantenerse en contacto y dar seguimiento con las personas que están en riesgo de suicidio ayuda a reducir el riesgo de futuros intentos de suicidio. Las investigaciones también han demostrado que tener un lugar más seguro para guardar cualquier medio letal puede ayudar a reducir los intentos de suicidio y las muertes autoinfligidas. Además, la evaluación y el manejo colaborativos de las tendencias suicidas pueden ayudar a reducir los pensamientos suicidas."
Preguntas frecuentes sobre el suicidio. NIMH. https://www.nimh.nih.gov/sites/default/files/health/publications/espanol/senales-de-advertencia-sobre-el-suicidio/preguntas-frecuentes-sobre-el-suicidio.pdf,¿En qué consiste la Atención colabarativa para ayudar a las personas que están en riesgo de suicidio?,"La atención colaborativa es un enfoque en función de equipos para la atención de la salud mental. Un administrador de atención de la salud conductual trabajará con la persona, su proveedor de atención primaria y los especialistas en salud mental para establecer un plan de tratamiento. Se ha demostrado que la atención colaborativa es una forma eficaz de tratar la depresión y reducir los pensamientos suicidas."
